sep=
487	1113045903
2749	9880772301
1651	3090926104
532	69628828553
541	815131285
583	14448414661
591	18809043493
1134	101329049398
2049	101335431427
2749	101376696907
572	423807986
631	4960086953
698	4972606946
766	257070136
1651	5235532445
487	1372386127
338	4932895539
460	15363402189
26	900886
481	19810889706
553	24742477199
1523	24746928089
2749	24787081636
229	111944249
146	255937826
355	939469347
153	937599038
718	1303604193
1118	1305826784
1651	1309427217
487	1028045742
61	10711320
115	251208678
19	724704
265	1006051090
493	19721953652
27	404548
580	19724903601
277	437984970
71	1356661
141	389149298
231	89593209
538	479912288
24	306003
600	482646127
773	484143257
164	22258803
121	24193016
273	561535377
528	608590594
818	609624034
56	1267279
172	14350411
381	478426087
685	498295821
22	679035
393	970381737
163	148752737
756	1121178041
844	1122359675
1026	1629219338
97	16618911
472	1210319698
167	45137842
759	1258038471
1	192640
190	27100252
298	5909681075
149	90917713
577	6651755058
1027	8726944296
1356	10014563522
56	3944885
114	12336468
394	1285998946
612	7651601783
619	10013203580
58	16747589
152	90012485
401	2578426019
543	3737778999
1	436886
427	614605834
61	649568
576	2974361855
583	3005392270
961	3081770009
12	682207
142	199584481
284	6353076402
638	6354858062
686	6970526486
127	48989741
336	3317693225
181	1529622407
55	1696648
266	15302847501
9	534972
391	3333467777
514	4863308280
364	1427772157
329	3351072686
56	868324
4	137932
102	7015173
590	3359312825
363	1232103092
362	12851791007
522	14279753685
532	15289223017
551	15291017052
1281	29787625218
1483	34156071884
61	4439658
42	2118833
182	81556215
83	8425584
206	185412990
568	9915710995
4	200294
109	20283027
386	3548964458
156	76118589
404	8614547630
631	8709629846
649	8793540640
830	8795087034
477	17716780186
206	621010226
44	548701
373	2197183352
48	765067
388	860789045
506	863028828
622	3061976804
789	44544094198
310	32739068511
103	83705853
288	42435663104
567	42438086987
1630	75181403846
1842	83981710060
2355	209461644928
2646	209470704431
2749	209515906249
128	22395108
495	1504829529
809	1530569087
248	4324328240
448	7940399171
178	77563770
4	429891
372	1981718863
63	5691918
547	1989116900
567	1990595725
9	170649
168	286366410
9	199065
1	207058
111	9475522
347	386703060
558	397282260
561	398514614
608	399171303
635	878399871
1295	15073451929
22	359132
403	185943707
27	425199
487	4208289315
80	201404544
